2022-03-24 22:33:39,379 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,384 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,389 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,393 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,398 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,403 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,408 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,413 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,417 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,422 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,427 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,432 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,437 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,441 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,446 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,451 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,456 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,461 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,466 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,471 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,476 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,480 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,485 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,490 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,495 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,499 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,504 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,509 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,514 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,518 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,523 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,528 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,533 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,538 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,543 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,548 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,554 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,559 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,563 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,568 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,573 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,578 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,582 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,588 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,592 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,597 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,601 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,607 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,612 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,616 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,622 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,626 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,631 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,637 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
2022-03-24 22:33:39,642 INFO    MainThread:47232 [wandb_watch.py:watch():47] Watching
